50,D1,South Platte
51,D1,Southeast NE Consolidated
52,D1,Spalding/Spalding Academy
53,D1,Spencer-Naper
54,D1,Stuart
55,D1,Waterloo
56,D1,Wauneta-Palisade
57,D1,Wausa
58,D1,Winside
01,D2,Allen
02,D2,Ansley
03,D2,Arcadia
04,D2,Arthur County
05,D2,Banner County
06,D2,Brady
07,D2,Butte
08,D2,Chambers
09,D2,Clearwater
10,D2,Concordia
11,D2,Culbertson
12,D2,Dawson-Verdon
13,D2,Dorchester
14,D2,Elba
15,D2,Greeley
16,D2,Hampton
17,D2,Hay Springs
18,D2,Hayes Center
19,D2,Heartland Lutheran
20,D2,Humphrey
21,D2,Keya Paha County
22,D2,Lakeside Central
23,D2,Lindsay Holy Family
24,D2,Litchfield
25,D2,Lodgepole
26,D2,Loomis
27,D2,Loup County
28,D2,Lynch
29,D2,Maywood
30,D2,McCool Junction
31,D2,McPherson County
32,D2,Mullen
33,D2,Nemaha Valley
34,D2,Newcastle
35,D2,Niobrara
36,D2,North Loup-Scotia
37,D2,Parkview Christian
38,D2,Prague
39,D2,Sandhills
40,D2,Santee
41,D2,Sargent
42,D2,Shickley
43,D2,Sioux County
44,D2,St. Edward
45,D2,St. Mary's
46,D2,Stapleton
47,D2,Sterling
48,D2,Sumner-Eddyville-Miller
49,D2,Thedford
50,D2,Twin Valley
51,D2,Verdigre
52,D2,Wallace
53,D2,Walthill
54,D2,Wheatland
55,D2,Wheeler Central
56,D2,Wolbach
57,D2,Wynot
