CLASS,SCHOOL,BOYS COACH
,Wood River/Shelton,Gretchen Wiseman (Coop w/Shelton)
A,Millard West,Max Kurz
C,Southern Valley,RayAnn Roskop
D,Doniphan-Trumbull *,William Alberts
D,Elm Creek *,Don Richmond
D,Southwest g,Margo Kent
