2016 SUMMARY DISTRICT BOYS BASKETBALL RECEIPTS



,Subdistricts,,District Finals,,Class A,,Class B
Total Receipts,0,,0,,0,,0
Officials,0,,0,,0,,0
Host,0,,0,,0,,0
Teams,0,,0,,0,,0
NSAA,0,,0,,0,,0
Insurance,0,,0,,0,,0


GRAND TOTALS:
Total Receipts,0
Officials,0
Host,0
Teams,0
NSAA,0
Insurance,0
