"977";"C1";"1";"1";"Bennington";"22";"2";"44";"74.80";" ";"2";"36.46";"111.26"
"978";"C1";"1";"1";"Douglas County West";"13";"1";"13";"22.10";" ";"1";"18.23";"40.33"
"979";"C1";"1";"1";"Fort Calhoun";"31";"1";"31";"52.70";" ";"2";"36.46";"89.16"
"980";"C1";"1";"1";"Tekamah-Herman";"39";"1";"39";"66.30";" ";"1";"18.23";"84.53"
"981";"C2";"11";"1";"Dundy County-Stratton";"56";"1";"56";"95.20";"39.21";"1";"0.00";"39.21"
"982";"C2";"11";"1";"North Platte St. Patrick's";"68";"2";"136";"231.20";"95.23";"2";"0.00";"95.23"
"983";"C2";"11";"1";"Chase County";"64";"1";"64";"108.80";"44.81";"2";"0.00";"44.81"
"984";"C2";"11";"1";"Perkins County";"90";"2";"180";"306.00";"126.04";"2";"0.00";"126.04"
"985";"C2";"11";"1";"Sutherland";"87";"1";"87";"147.90";"60.92";"1";"0.00";"60.92"
"990";"C2";"4";"1";"Archbishop Bergan";"16";"2";"32";"54.40";" ";"2";"119.91";"174.31"
"991";"C1";"9";"1";"Crofton";"54";"1";"54";"91.80";" ";"1";"333.33";"425.13"
"992";"C1";"9";"1";"Battle Creek";"14";"1";"14";"23.80";" ";"1";"333.33";"357.13"
"993";"C1";"9";"1";"Pierce";"15";"1";"15";"25.50";" ";"2";"666.67";"692.17"
"994";"C1";"9";"1";"Norfolk Catholic";"4";"2";"8";"13.60";" ";"2";"666.67";"680.27"
"995";"C1";"9";"1";"Lutheran High Northeast";"4";"2";"8";"13.60";" ";"2";"666.67";"680.27"
"996";"C2";"10";"1";"Alma";"24";"2";"48";"81.60";" ";"2";"110.65";"192.25"
"997";"C2";"10";"1";"Arapahoe";"35";"1";"35";"59.50";" ";"1";"55.32";"114.82"
"998";"C2";"10";"1";"Cambridge";"49";"1";"49";"83.30";" ";"1";"55.32";"138.62"
"999";"C2";"10";"1";"Elm Creek";"18";"1";"18";"30.60";" ";"2";"110.65";"141.25"
"1000";"C2";"10";"1";"Southwest";"55";"2";"110";"187.00";" ";"2";"110.65";"297.65"
"1001";"D2";"6";"1";"Chambers";"63";"2";"126";"214.20";" ";"2";"18.11";"232.31"
"1002";"D2";"6";"1";"Ewing";"19";"1";"19";"32.30";" ";"1";"9.05";"41.35"
"1003";"D2";"6";"1";"Elgin";"11";"1";"11";"18.70";" ";"1";"9.05";"27.75"
"1004";"D2";"6";"1";"Pope John";"11";"1";"11";"18.70";" ";"2";"18.11";"36.81"
"1005";"D2";"6";"1";"Wheeler Central";"42";"2";"84";"142.80";" ";"2";"18.11";"160.91"
"1006";"D1";"2";"1";"Diller-Odell";"45";"1";"45";"76.50";"55.19";"1";"0.00";"55.19"
"1007";"D1";"2";"1";"Dorchester";"18";"1";"18";"30.60";"22.08";"1";"0.00";"22.08"
"1008";"D1";"2";"1";"Freeman";"25";"2";"50";"85.00";"61.33";"2";"0.00";"61.33"
