189,Humboldt-Table Rock-Steinauer,96,C1,Humboldt-Table Rock-Steinauer,96,,
188,Humphrey,61,D1,Humphrey,61,,
187,Humphrey St. Francis,61,D1,Humphrey St. Francis,61,,
186,Hyannis,34,D2,Hyannis,34,,
35,Johnson County Central,111,C1,Johnson County Central,111,,
185,Johnson-Brock,77,C2,Johnson-Brock,77,,
184,Kearney,1077,A,Kearney,1077,,
183,Kearney Catholic,129,C1,Kearney Catholic,129,,
182,Kenesaw,68,C2,Kenesaw,68,,
181,Keya Paha County,24,D2,Keya Paha County,24,,
180,Kimball,119,C1,Kimball,119,,
179,Laurel-Concord,98,C1,Laurel-Concord,77,Coleridge,21
178,Lawrence-Nelson,35,D2,Lawrence-Nelson,35,,
177,Leigh,39,D2,Leigh,39,,
176,Lewiston,48,D1,Lewiston,48,,
175,Lexington,604,A,Lexington,604,,
174,Leyton,50,D1,Leyton,50,,
325,Lincoln Christian,133,C1,Lincoln Christian,133,,
172,Lincoln East,1033,A,Lincoln East,1033,,
1,Lincoln High,1132,A,Lincoln High,1132,,
170,Lincoln North Star,1388,A,Lincoln North Star,1388,,
169,Lincoln Northeast,1045,A,Lincoln Northeast,1045,,
168,Lincoln Pius X,785,A,Lincoln Pius X,785,,
167,Lincoln Southeast,1370,A,Lincoln Southeast,1370,,
165,Lindsay Holy Family,43,D2,Lindsay Holy Family,43,,
164,Litchfield,38,D2,Litchfield,38,,
162,Logan View,143,B,Logan View,143,,
317,Loomis,51,D1,Loomis,51,,
160,Louisville,118,C1,Louisville,118,,
159,Loup City,67,C2,Loup City,67,,
157,Lourdes Central Catholic,86,C2,Lourdes Central Catholic,86,,
156,Lutheran High Northeast,102,C1,Lutheran High Northeast,102,,
155,Lynch,31,D2,Lynch,31,,
154,Lyons-Decatur Northeast,68,C2,Lyons-Decatur Northeast,68,,
153,Madison,126,C1,Madison,126,,
152,Malcolm,111,C1,Malcolm,111,,
151,Maxwell,73,C2,Maxwell,73,,
149,McCook,364,B,McCook,364,,
148,McCool Junction,64,D1,McCool Junction,64,,
147,McPherson County,25,D2,McPherson County,25,,
146,Mead,46,D1,Mead,46,,
144,Meridian,45,D2,Meridian,45,,
143,Milford,172,B,Milford,172,,
140,Millard West,1671,A,Millard West,1671,,
139,Minatare,55,D1,Minatare,55,,
138,Minden,193,B,Minden,193,,
137,Mitchell,169,B,Mitchell,169,,
136,Morrill,94,C2,Morrill,94,,
134,Mullen,45,D2,Mullen,45,,
133,Nebraska Christian,89,C2,Nebraska Christian,89,,
132,Nebraska City,337,B,Nebraska City,337,,
131,Nebraska Lutheran,54,D1,Nebraska Lutheran,54,,
130,Neligh-Oakdale,86,C2,Neligh-Oakdale,86,,
129,Newcastle,27,D2,Newcastle,27,,
128,Newman Grove,57,D1,Newman Grove,57,,
127,Niobrara,28,D2,Niobrara,28,,
126,Norfolk,894,A,Norfolk,894,,
125,Norfolk Catholic,165,B,Norfolk Catholic,165,,
124,Norris,482,A,Norris,482,,
123,North Bend Central,106,C1,North Bend Central,106,,
122,North Loup-Scotia,35,D2,North Loup-Scotia,35,,
121,North Platte,861,A,North Platte,861,,
120,North Platte St. Patrick's,84,C2,North Platte St. Patrick's,84,,
209,Northwest,517,A,Northwest,517,,
99,O'Neill,172,B,O'Neill,172,,
119,Oakland-Craig,95,C1,Oakland-Craig,95,,
118,Ogallala,214,B,Ogallala,214,,
117,Omaha Benson,1197,A,Omaha Benson,1197,,
115,Omaha Bryan,1390,A,Omaha Bryan,1390,,
114,Omaha Burke,1761,,Omaha Burke,1761,,
326,Omaha Central,2051,A,Omaha Central,2051,,
112,Omaha Christian Academy,86,C2,Omaha Christian Academy,86,,
109,Omaha Gross Catholic,322,B,Omaha Gross Catholic,322,,
314,Omaha North,1563,A,Omaha North,1563,,
104,Omaha Northwest,979,A,Omaha Northwest,979,,
315,Omaha Westside,1412,A,Omaha Westside,1412,,
97,Ord,112,C1,Ord,112,,
96,Osceola,66,C2,Osceola,66,,
95,Osmond,61,D1,Osmond,61,,
94,Overton,76,C2,Overton,76,,
93,Palmer,72,C2,Palmer,72,,
92,Palmyra,100,C1,Palmyra,100,,
91,Papillion-LaVista,1098,A,Papillion-La Vista,1098,,
89,Parkview Christian,47,D1,Parkview Christian,47,,
88,Pawnee City,59,D1,Pawnee City,59,,
87,Paxton,63,D1,Paxton,63,,
86,Pender,77,C2,Pender,77,,
208,Perkins County,89,C2,Perkins County,89,,
85,Pierce,182,B,Pierce,182,,
84,Plainview,93,C2,Plainview,93,,
83,Platteview,249,B,Platteview,249,,
82,Plattsmouth,404,A,Plattsmouth,404,,
81,Pleasanton,31,D2,Pleasanton,31,,
80,Ponca,95,C2,Ponca,95,,
79,Pope John,51,D1,Pope John,51,,
78,Potter-Dix,50,D1,Potter-Dix,50,,
75,Randolph,70,C2,Randolph,70,,
74,Ravenna,105,C1,Ravenna,105,,
73,Raymond Central,162,B,Raymond Central,162,,
72,Red Cloud,56,D1,Red Cloud,56,,
69,Rock County,42,D2,Rock County,42,,
68,Sandhills,35,D2,Sandhills,35,,
67,Sandy Creek,121,C1,Sandy Creek,121,,
65,Sargent,44,D2,Sargent,44,,
64,Schuyler,323,B,Schuyler,323,,
63,Scottsbluff,625,A,Scottsbluff,625,,
62,Scribner-Snyder,56,D1,Scribner-Snyder,56,,
61,Seward,375,B,Seward,375,,
60,Shelby,89,C2,Shelby-Rising City,89,,
59,Shelton,78,C2,Shelton,78,,
318,Shickley,25,D2,Shickley,25,,
57,Sidney,248,B,Sidney,248,,
56,Silver Lake,52,D1,Silver Lake,52,,
